scenario,num_nodes,sim_time_sec,data_tx,root_rx,pdr,data_drop,data_fwd,attack_rate_logged,actual_drop_rate
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_a_low_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_b_high_exposure_20,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_c_high_pd,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
